--- Parsing movimentacao-2026-05-04-02-10-08.xlsx ---
Entrada/Saída	Data	Movimentação	Produto	Instituição	Quantidade	Preço unitário	Valor da Operação
Credito	01/04/2026	Juros Sobre Capital Próprio	ITSA4 - ITAUSA S/A	NU INVEST CORRETORA DE VALORES S.A.	525	0.024	10.5
Credito	25/03/2026	Leilão de Fração	MGLU3 - MAGAZINE LUIZA S.A.	NU INVEST CORRETORA DE VALORES S.A.	0.45	9.147	4.11
Credito	25/03/2026	Atualização	PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS	NU INVEST CORRETORA DE VALORES S.A.	195	-	-
Credito	20/03/2026	Rendimento	PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS	NU INVESTIMENTOS S.A. - CTVM	195	0.009	1.35
Credito	20/03/2026	Dividendo	PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS	NU INVESTIMENTOS S.A. - CTVM	195	0.296	57.8
Credito	20/03/2026	Juros Sobre Capital Próprio	PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS	NU INVESTIMENTOS S.A. - CTVM	195	0.175	29.04
Credito	20/03/2026	Rendimento	PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS	NU INVESTIMENTOS S.A. - CTVM	195	0.005	0.8
Credito	13/03/2026	Rendimento	HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	52	1.1	57.2
Credito	13/03/2026	Rendimento	KNRI11 - KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	57	1.1	62.7
Credito	13/03/2026	Rendimento	MXRF11 - MAXI RENDA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	944	0.1	94.4
Credito	13/03/2026	Rendimento	VISC11 - VINCI SHOPPING CENTERS FDO INVEST IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	79	0.84	66.36
Credito	11/03/2026	Juros Sobre Capital Próprio	BBAS3 - BANCO DO BRASIL S/A	NU INVEST CORRETORA DE VALORES S.A.	319	0.07	18.46
Credito	06/03/2026	Juros Sobre Capital Próprio	ITSA4 - ITAUSA S/A	NU INVEST CORRETORA DE VALORES S.A.	515	0.018	7.97
Credito	05/03/2026	Rendimento	BBAS3 - BANCO DO BRASIL S/A	NU INVEST CORRETORA DE VALORES S.A.	319	0.005	1.28
Credito	05/03/2026	Juros Sobre Capital Próprio	BBAS3 - BANCO DO BRASIL S/A	NU INVEST CORRETORA DE VALORES S.A.	319	0.216	56.93
Credito	04/03/2026	Transferência - Liquidação	HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	4	158.39	633.56
Credito	02/03/2026	Rendimento	BBSE3 - BB SEGURIDADE PARTICIPACOES S.A.	NU INVEST CORRETORA DE VALORES S.A.	187	0.057	8.24
Credito	02/03/2026	Dividendo	BBSE3 - BB SEGURIDADE PARTICIPACOES S.A.	NU INVEST CORRETORA DE VALORES S.A.	187	2.55	476.84
Debito	02/03/2026	Direitos de Subscrição - Não Exercido	HGLG12 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	0	-	-
Credito	02/03/2026	Atualização	PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS	NU INVEST CORRETORA DE VALORES S.A.	195	-	-
Debito	27/02/2026	Cessão de Direitos - Solicitada	HGLG12 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	5	-	-
Credito	27/02/2026	Cessão de Direitos	HGLG12 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	5	-	-
Credito	25/02/2026	Leilão de Fração	ITSA4 - ITAUSA S/A	NU INVEST CORRETORA DE VALORES S.A.	0.3	14.658	4.39
Credito	20/02/2026	Juros Sobre Capital Próprio	PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS	NU INVEST CORRETORA DE VALORES S.A.	195	0.472	78.17
Credito	20/02/2026	Rendimento	PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS	NU INVEST CORRETORA DE VALORES S.A.	195	0.009	1.35
Credito	13/02/2026	Rendimento	HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	52	1.1	57.2
Credito	13/02/2026	Rendimento	KNRI11 - KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	57	0.88	50.16
Credito	13/02/2026	Rendimento	MXRF11 - MAXI RENDA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	944	0.1	94.4
Credito	13/02/2026	Rendimento	VISC11 - VINCI SHOPPING CENTERS FDO INVEST IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	79	0.84	66.36
Credito	12/02/2026	Direito de Subscrição	HGLG12 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	5	-	-
Debito	09/02/2026	Fração em Ativos	MGLU3 - MAGAZINE LUIZA S.A.	NU INVEST CORRETORA DE VALORES S.A.	0.45	-	-
Credito	30/01/2026	Leilão de Fração	EGIE3 - ENGIE BRASIL ENERGIA S.A.	NU INVEST CORRETORA DE VALORES S.A.	0.2	30.578	6.11
Credito	28/01/2026	Dividendo	TAEE11 - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A	NU INVEST CORRETORA DE VALORES S.A.	130	0.519	67.46
Credito	28/01/2026	Juros Sobre Capital Próprio	TAEE11 - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A	NU INVEST CORRETORA DE VALORES S.A.	130	0.419	46.35
Debito	27/01/2026	Fração em Ativos	ITSA4 - ITAUSA S/A	NU INVEST CORRETORA DE VALORES S.A.	0.3	-	-
Credito	22/01/2026	Transferência - Liquidação	BBAS3 - BANCO DO BRASIL S/A	NU INVEST CORRETORA DE VALORES S.A.	50	21.55	1077.5
Credito	22/01/2026	Transferência - Liquidação	HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	3	156.82	470.46
Credito	22/01/2026	Transferência - Liquidação	KNRI11 - KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	3	159.38	478.14
Credito	22/01/2026	Transferência - Liquidação	MXRF11 - MAXI RENDA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	100	9.5	950
Credito	22/01/2026	Transferência - Liquidação	VISC11 - VINCI SHOPPING CENTERS FDO INVEST IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	5	109.65	548.25
Debito	20/01/2026	Transferência - Liquidação	CSMG3 - CIA SANEAMENTO DE MINAS GERAIS-COPASA MG	NU INVEST CORRETORA DE VALORES S.A.	80	44.11	3528.8
Credito	15/01/2026	Rendimento	HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	49	1.1	53.9
Credito	15/01/2026	Rendimento	KNRI11 - KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	54	1.25	67.5
Credito	15/01/2026	Rendimento	MXRF11 - MAXI RENDA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	844	0.1	84.4
Credito	15/01/2026	Rendimento	VISC11 - VINCI SHOPPING CENTERS FDO INVEST IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	74	0.81	59.94
Debito	07/01/2026	Fração em Ativos	EGIE3 - ENGIE BRASIL ENERGIA S.A.	NU INVEST CORRETORA DE VALORES S.A.	0.2	-	-
Credito	02/01/2026	Juros Sobre Capital Próprio	ITSA4 - ITAUSA S/A	NU INVEST CORRETORA DE VALORES S.A.	515	0.024	10.3
Credito	02/01/2026	Bonificação em Ativos	MGLU3 - MAGAZINE LUIZA S.A.	NU INVEST CORRETORA DE VALORES S.A.	1.45	-	-
Credito	29/12/2025	Dividendo	BFXI39 - ISHARES CHINA LARGE-CAP ETF	NU INVEST CORRETORA DE VALORES S.A.	300	0.312	93.46
Credito	26/12/2025	Juros Sobre Capital Próprio	CSMG3 - CIA SANEAMENTO DE MINAS GERAIS-COPASA MG	NU INVEST CORRETORA DE VALORES S.A.	225	0.157	30.12
Credito	26/12/2025	Dividendo	CSMG3 - CIA SANEAMENTO DE MINAS GERAIS-COPASA MG	NU INVEST CORRETORA DE VALORES S.A.	225	0.37	83.24
Credito	23/12/2025	Dividendo	EGIE3 - ENGIE BRASIL ENERGIA S.A.	NU INVEST CORRETORA DE VALORES S.A.	118	0.881	104
Credito	22/12/2025	Bonificação em Ativos	ITSA4 - ITAUSA S.A.	NU INVEST CORRETORA DE VALORES S.A.	10.3	-	-
Credito	22/12/2025	Juros Sobre Capital Próprio	PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS	NU INVEST CORRETORA DE VALORES S.A.	160	0.135	18.36
Credito	22/12/2025	Dividendo	PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS	NU INVEST CORRETORA DE VALORES S.A.	160	0.201	32.14
Credito	19/12/2025	Dividendo	ITSA4 - ITAUSA S.A.	NU INVEST CORRETORA DE VALORES S.A.	515	0.775	399.31
Credito	18/12/2025	Atualização	MGLU3 - MAGAZINE LUIZA S.A.	NU INVEST CORRETORA DE VALORES S.A.	29	-	-
Credito	12/12/2025	Juros Sobre Capital Próprio	BBAS3 - BANCO DO BRASIL S/A	NU INVEST CORRETORA DE VALORES S.A.	269	0.046	10.48
Credito	12/12/2025	Rendimento	HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	49	1.1	53.9
Credito	12/12/2025	Rendimento	KNRI11 - KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	54	1	54
Credito	12/12/2025	Rendimento	MXRF11 - MAXI RENDA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	844	0.1	84.4
Credito	12/12/2025	Rendimento	VISC11 - VINCI SHOPPING CENTERS FDO INVEST IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	74	0.81	59.94
Credito	12/12/2025	Dividendo	WEGE3 - WEG S.A.	NU INVEST CORRETORA DE VALORES S.A.	143	0.342	48.86
Credito	12/12/2025	Juros Sobre Capital Próprio	WEGE3 - WEG S.A.	NU INVEST CORRETORA DE VALORES S.A.	143	0.111	13.53
Credito	12/12/2025	Juros Sobre Capital Próprio	WEGE3 - WEG S.A.	NU INVEST CORRETORA DE VALORES S.A.	70	0.11	6.56
Credito	11/12/2025	Juros Sobre Capital Próprio	BBAS3 - BANCO DO BRASIL S/A	NU INVEST CORRETORA DE VALORES S.A.	269	0.072	16.44
Credito	02/12/2025	Transferência - Liquidação	BBSE3 - BB SEGURIDADE PARTICIPACOES S.A.	NU INVEST CORRETORA DE VALORES S.A.	20	33.96	679.2
Credito	02/12/2025	Transferência - Liquidação	ITSA4 - ITAUSA S.A.	NU INVEST CORRETORA DE VALORES S.A.	40	12.324	492.96
Credito	02/12/2025	Transferência - Liquidação	PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS	NU INVEST CORRETORA DE VALORES S.A.	35	31.777	1112.2
Credito	02/12/2025	Transferência - Liquidação	TAEE11 - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A	NU INVEST CORRETORA DE VALORES S.A.	15	43.61	654.15
Credito	02/12/2025	Transferência - Liquidação	WEGE3 - WEG S.A.	NU INVEST CORRETORA DE VALORES S.A.	15	44.175	662.62
Credito	28/11/2025	Bonificação em Ativos	EGIE3 - ENGIE BRASIL ENERGIA S.A.	NU INVEST CORRETORA DE VALORES S.A.	57.2	-	-
Credito	27/11/2025	Dividendo	TAEE11 - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A	NU INVEST CORRETORA DE VALORES S.A.	80	0.23	18.41
Credito	27/11/2025	Juros Sobre Capital Próprio	TAEE11 - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A	NU INVEST CORRETORA DE VALORES S.A.	80	0.639	43.45
Credito	21/11/2025	Juros Sobre Capital Próprio	PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS	NU INVEST CORRETORA DE VALORES S.A.	160	0.336	45.69
Credito	18/11/2025	Atualização	PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS	NU INVEST CORRETORA DE VALORES S.A.	160	-	-
Credito	14/11/2025	Rendimento	HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	24	1.1	26.4
Credito	14/11/2025	Rendimento	KNRI11 - KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	27	1	27
Credito	14/11/2025	Rendimento	MXRF11 - MAXI RENDA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	424	0.1	42.4
Credito	14/11/2025	Rendimento	VISC11 - VINCI SHOPPING CENTERS FDO INVEST IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	37	0.81	29.97
Credito	11/11/2025	Transferência - Liquidação	EGIE3 - ENGIE BRASIL ENERGIA S.A.	NU INVEST CORRETORA DE VALORES S.A.	25	42.93	1073.25
Credito	10/11/2025	Juros Sobre Capital Próprio	CSMG3 - CIA SANEAMENTO DE MINAS GERAIS-COPASA MG	NU INVEST CORRETORA DE VALORES S.A.	225	0.448	85.6
Credito	10/11/2025	Transferência - Liquidação	ITSA4 - ITAUSA S.A.	NU INVEST CORRETORA DE VALORES S.A.	170	11.8	2006
Credito	10/11/2025	Transferência - Liquidação	TAEE11 - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A	NU INVEST CORRETORA DE VALORES S.A.	50	40.02	2001
Credito	10/11/2025	Transferência - Liquidação	WEGE3 - WEG S.A.	NU INVEST CORRETORA DE VALORES S.A.	45	43.55	1959.75
Credito	06/11/2025	Transferência - Liquidação	HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	25	156.66	3916.5
Credito	06/11/2025	Transferência - Liquidação	KNRI11 - KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	27	145.86	3938.22
Credito	06/11/2025	Transferência - Liquidação	MXRF11 - MAXI RENDA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	420	9.59	4027.8
Credito	06/11/2025	Transferência - Liquidação	VISC11 - VINCI SHOPPING CENTERS FDO INVEST IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	37	105.93	3919.41
Debito	23/10/2025	Direitos de Subscrição - Não Exercido	MXRF12 - MAXI RENDA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	0	-	-
Debito	22/10/2025	Cessão de Direitos - Solicitada	MXRF12 - MAXI RENDA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	102	-	-
Credito	22/10/2025	Cessão de Direitos	MXRF12 - MAXI RENDA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	102	-	-
Credito	20/10/2025	Transferência - Liquidação	BBAS3 - BANCO DO BRASIL S/A	NU INVEST CORRETORA DE VALORES S.A.	24	20.3	487.2
Credito	20/10/2025	Transferência - Liquidação	BBSE3 - BB SEGURIDADE PARTICIPACOES S.A.	NU INVEST CORRETORA DE VALORES S.A.	15	32	480
Credito	20/10/2025	Transferência - Liquidação	ITSA4 - ITAUSA S.A.	NU INVEST CORRETORA DE VALORES S.A.	45	10.97	493.65
Credito	20/10/2025	Transferência - Liquidação	WEGE3 - WEG S.A.	NU INVEST CORRETORA DE VALORES S.A.	13	37.61	488.93
Credito	14/10/2025	Rendimento	HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	24	1.1	26.4
Debito	14/10/2025	Direitos de Subscrição - Não Exercido	HGLG12 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	0	-	-
Credito	14/10/2025	Rendimento	KNRI11 - KINEA RENDA IMOBILIARIA FUNDO DE INVESTIMENTO IMOBILIARIO RESP LIMITADA	NU INVEST CORRETORA DE VALORES S.A.	27	1	27
Credito	14/10/2025	Rendimento	MXRF11 - MAXI RENDA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	424	0.1	42.4
Credito	14/10/2025	Rendimento	VISC11 - VINCI SHOPPING CENTERS FDO INVEST IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	37	0.81	29.97
Debito	13/10/2025	Cessão de Direitos - Solicitada	HGLG12 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	8	-	-
Credito	13/10/2025	Cessão de Direitos	HGLG12 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	8	-	-
Credito	10/10/2025	Direito de Subscrição	MXRF12 - MAXI RENDA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	102	-	-
Credito	01/10/2025	Direito de Subscrição	HGLG12 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	8	-	-
Credito	01/10/2025	Juros Sobre Capital Próprio	ITSA4 - ITAUSA S.A.	NU INVEST CORRETORA DE VALORES S.A.	260	0.024	5.2
Credito	22/09/2025	Dividendo	PETR4 - PETROLEO BRASILEIRO S/A - PETROBRAS	NU INVEST CORRETORA DE VALORES S.A.	160	0.308	49.35
Credito	22/09/2025	Juros Sobre Capital Próprio	PETR4 - PETROLEO BRASILEIRO S/A - PETROBRAS	NU INVEST CORRETORA DE VALORES S.A.	160	0.146	19.88
Credito	12/09/2025	Rendimento	HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.	NU INVEST CORRETORA DE VALORES S.A.	18	1.1	19.8
Credito	12/09/2025	Rendimento	KNRI11 - KINEA RENDA IMOBILIARIA FUNDO DE INVESTIMENTO IMOBILIARIO RESP LIMITADA	NU INVEST CORRETORA DE VALORES S.A.	20	1	20
Credito	12/09/2025	Rendimento	MXRF11 - MAXI RENDA FDO INV IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	320	0.1	32
Credito	12/09/2025	Rendimento	VISC11 - VINCI SHOPPING CENTERS FDO INVEST IMOB - FII	NU INVEST CORRETORA DE VALORES S.A.	28	0.81	22.68
Credito	05/09/2025	Transferência - Liquidação	BBAS3 - BANCO DO BRASIL S/A	NU INVEST CORRETORA DE VALORES S.A.	48	20.41	979.68
